Date,Anomaly,Anomaly fit,ENSO val
01-01-1980,7.66E+13,0.766,0.6
01-02-1980,7.00E+13,0.7,0.5
01-03-1980,5.24E+13,0.524,0.3
01-04-1980,4.01E+13,0.401,0.4
01-05-1980,4.02E+13,0.402,0.5
01-06-1980,4.33E+13,0.433,0.5
01-07-1980,4.68E+13,0.468,0.3
01-08-1980,4.95E+13,0.495,0
01-09-1980,6.46E+13,0.646,-0.1
01-10-1980,8.51E+13,0.851,0
01-11-1980,9.44E+13,0.944,0.1
01-12-1980,7.81E+13,0.781,0
01-01-1981,4.72E+13,0.472,-0.3
01-02-1981,6.51E+13,0.651,-0.5
01-03-1981,9.56E+13,0.956,-0.5
01-04-1981,7.40E+13,0.74,-0.4
01-05-1981,3.84E+13,0.384,-0.3
01-06-1981,9.13E+12,0.0913,-0.3
01-07-1981,1.04E+13,0.104,-0.3
01-08-1981,3.72E+13,0.372,-0.2
01-09-1981,4.58E+13,0.458,-0.2
01-10-1981,3.31E+13,0.331,-0.1
01-11-1981,2.19E+13,0.219,-0.2
01-12-1981,3.62E+13,0.362,-0.1
01-01-1982,7.04E+13,0.704,0
01-02-1982,8.08E+13,0.808,0.1
01-03-1982,8.08E+13,0.808,0.2
01-04-1982,1.01E+14,1.01,0.5
01-05-1982,1.05E+14,1.05,0.7
01-06-1982,8.18E+13,0.818,0.7
01-07-1982,7.79E+13,0.779,0.8
01-08-1982,1.25E+14,1.25,1.1
01-09-1982,1.72E+14,1.72,1.6
01-10-1982,1.64E+14,1.64,2
01-11-1982,1.28E+14,1.28,2.2
01-12-1982,8.19E+13,0.819,2.2
01-01-1983,-2.32E+12,-0.0232,2.2
01-02-1983,-4.61E+13,-0.461,1.9
01-03-1983,-3.79E+13,-0.379,1.5
01-04-1983,-3.78E+13,-0.378,1.3
01-05-1983,-5.75E+13,-0.575,1.1
01-06-1983,-9.67E+13,-0.967,0.7
01-07-1983,-1.27E+14,-1.27,0.3
01-08-1983,-1.35E+14,-1.35,-0.1
01-09-1983,-1.77E+14,-1.77,-0.5
01-10-1983,-2.49E+14,-2.49,-0.8
01-11-1983,-2.55E+14,-2.55,-1
01-12-1983,-2.13E+14,-2.13,-0.9
01-01-1984,-1.80E+14,-1.8,-0.6
01-02-1984,-1.45E+14,-1.45,-0.4
01-03-1984,-1.20E+14,-1.2,-0.3
01-04-1984,-1.18E+14,-1.18,-0.4
01-05-1984,-1.31E+14,-1.31,-0.5
01-06-1984,-1.31E+14,-1.31,-0.4
01-07-1984,-1.16E+14,-1.16,-0.3
01-08-1984,-9.14E+13,-0.914,-0.2
01-09-1984,-8.88E+13,-0.888,-0.2
01-10-1984,-9.37E+13,-0.937,-0.6
01-11-1984,-7.15E+13,-0.715,-0.9
01-12-1984,-5.70E+13,-0.57,-1.1
01-01-1985,-4.50E+13,-0.45,-1
01-02-1985,-1.74E+13,-0.174,-0.8
01-03-1985,3.70E+12,0.037,-0.8
01-04-1985,2.25E+13,0.225,-0.8
01-05-1985,3.21E+13,0.321,-0.8
01-06-1985,3.81E+13,0.381,-0.6
01-07-1985,4.78E+13,0.478,-0.5
01-08-1985,5.15E+13,0.515,-0.5
01-09-1985,4.28E+13,0.428,-0.4
01-10-1985,3.77E+13,0.377,-0.3
01-11-1985,4.54E+13,0.454,-0.3
01-12-1985,4.33E+13,0.433,-0.4
01-01-1986,3.45E+13,0.345,-0.5
01-02-1986,4.37E+13,0.437,-0.5
01-03-1986,4.37E+13,0.437,-0.3
01-04-1986,5.00E+13,0.5,-0.2
01-05-1986,7.66E+13,0.766,-0.1
01-06-1986,9.47E+13,0.947,0
01-07-1986,9.47E+13,0.947,0.2
01-08-1986,8.63E+13,0.863,0.4
01-09-1986,9.11E+13,0.911,0.7
01-10-1986,1.08E+14,1.08,0.9
01-11-1986,1.01E+14,1.01,1.1
01-12-1986,8.40E+13,0.84,1.2
01-01-1987,4.83E+13,0.483,1.2
01-02-1987,6.59E+12,0.0659,1.2
01-03-1987,-1.19E+13,-0.119,1.1
01-04-1987,-2.55E+13,-0.255,0.9
01-05-1987,-5.05E+13,-0.505,1
01-06-1987,-9.19E+13,-0.919,1.2
01-07-1987,-1.17E+14,-1.17,1.5
01-08-1987,-9.82E+13,-0.982,1.7
01-09-1987,-9.87E+13,-0.987,1.6
01-10-1987,-1.22E+14,-1.22,1.5
01-11-1987,-1.43E+14,-1.43,1.3
01-12-1987,-1.61E+14,-1.61,1.1
01-01-1988,-1.76E+14,-1.76,0.8
01-02-1988,-1.99E+14,-1.99,0.5
01-03-1988,-2.23E+14,-2.23,0.1
01-04-1988,-2.32E+14,-2.32,-0.3
01-05-1988,-2.15E+14,-2.15,-0.9
01-06-1988,-1.81E+14,-1.81,-1.3
01-07-1988,-1.52E+14,-1.52,-1.3
01-08-1988,-1.47E+14,-1.47,-1.1
01-09-1988,-1.59E+14,-1.59,-1.2
01-10-1988,-1.73E+14,-1.73,-1.5
01-11-1988,-1.57E+14,-1.57,-1.8
01-12-1988,-1.06E+14,-1.06,-1.8
01-01-1989,-3.78E+13,-0.378,-1.7
01-02-1989,1.98E+13,0.198,-1.4
01-03-1989,5.59E+13,0.559,-1.1
01-04-1989,9.18E+13,0.918,-0.8
01-05-1989,1.14E+14,1.14,-0.6
01-06-1989,1.11E+14,1.11,-0.4
01-07-1989,1.01E+14,1.01,-0.3
01-08-1989,8.41E+13,0.841,-0.3
01-09-1989,6.15E+13,0.615,-0.2
01-10-1989,5.22E+13,0.522,-0.2
01-11-1989,6.97E+13,0.697,-0.2
01-12-1989,1.13E+14,1.13,-0.1
01-01-1990,1.61E+14,1.61,0.1
01-02-1990,1.86E+14,1.86,0.2
01-03-1990,1.73E+14,1.73,0.3
01-04-1990,1.20E+14,1.2,0.3
01-05-1990,6.38E+13,0.638,0.3
01-06-1990,3.98E+13,0.398,0.3
01-07-1990,5.39E+13,0.539,0.3
01-08-1990,7.66E+13,0.766,0.4
01-09-1990,7.46E+13,0.746,0.4
01-10-1990,6.10E+13,0.61,0.3
01-11-1990,5.91E+13,0.591,0.4
01-12-1990,8.14E+13,0.814,0.4
01-01-1991,8.52E+13,0.852,0.4
01-02-1991,6.37E+13,0.637,0.3
01-03-1991,5.38E+13,0.538,0.2
01-04-1991,6.80E+13,0.68,0.3
01-05-1991,8.64E+13,0.864,0.5
01-06-1991,1.03E+14,1.03,0.6
01-07-1991,1.14E+14,1.14,0.7
01-08-1991,1.15E+14,1.15,0.6
01-09-1991,1.16E+14,1.16,0.6
01-10-1991,1.24E+14,1.24,0.8
01-11-1991,1.24E+14,1.24,1.2
01-12-1991,1.29E+14,1.29,1.5
01-01-1992,1.25E+14,1.25,1.7
01-02-1992,8.45E+13,0.845,1.6
01-03-1992,1.40E+13,0.14,1.5
01-04-1992,-4.12E+13,-0.412,1.3
01-05-1992,-8.82E+13,-0.882,1.1
01-06-1992,-1.06E+14,-1.06,0.7
01-07-1992,-7.97E+13,-0.797,0.4
01-08-1992,-5.40E+13,-0.54,0.1
01-09-1992,-3.17E+13,-0.317,-0.1
01-10-1992,-1.05E+13,-0.105,-0.2
01-11-1992,-6.66E+10,-0.000666,-0.3
01-12-1992,1.98E+13,0.198,-0.1
01-01-1993,1.92E+13,0.192,0.1
01-02-1993,1.02E+13,0.102,0.3
01-03-1993,9.12E+12,0.0912,0.5
01-04-1993,-3.35E+12,-0.0335,0.7
01-05-1993,-3.94E+13,-0.394,0.7
01-06-1993,-9.60E+13,-0.96,0.6
01-07-1993,-1.33E+14,-1.33,0.3
01-08-1993,-1.26E+14,-1.26,0.3
01-09-1993,-9.12E+13,-0.912,0.2
01-10-1993,-7.24E+13,-0.724,0.1
01-11-1993,-8.03E+13,-0.803,0
01-12-1993,-9.38E+13,-0.938,0.1
01-01-1994,-1.06E+14,-1.06,0.1
01-02-1994,-1.06E+14,-1.06,0.1
01-03-1994,-9.19E+13,-0.919,0.2
01-04-1994,-6.03E+13,-0.603,0.3
01-05-1994,-3.28E+13,-0.328,0.4
01-06-1994,-2.41E+13,-0.241,0.4
01-07-1994,-1.71E+13,-0.171,0.4
01-08-1994,2.30E+12,0.023,0.4
01-09-1994,3.13E+13,0.313,0.6
01-10-1994,6.01E+13,0.601,0.7
01-11-1994,6.88E+13,0.688,1
01-12-1994,2.54E+13,0.254,1.1
01-01-1995,-3.66E+13,-0.366,1
01-02-1995,-8.21E+13,-0.821,0.7
01-03-1995,-1.16E+14,-1.16,0.5
01-04-1995,-1.10E+14,-1.1,0.3
01-05-1995,-7.17E+13,-0.717,0.1
01-06-1995,-3.93E+13,-0.393,0
01-07-1995,-3.24E+13,-0.324,-0.2
01-08-1995,-5.08E+13,-0.508,-0.5
01-09-1995,-7.35E+13,-0.735,-0.8
01-10-1995,-6.46E+13,-0.646,-1
01-11-1995,-3.61E+13,-0.361,-1
01-12-1995,-1.46E+12,-0.0146,-1
01-01-1996,2.85E+13,0.285,-0.9
01-02-1996,4.82E+13,0.482,-0.8
01-03-1996,4.62E+13,0.462,-0.6
01-04-1996,3.70E+13,0.37,-0.4
01-05-1996,4.63E+13,0.463,-0.3
01-06-1996,5.90E+13,0.59,-0.3
01-07-1996,5.22E+13,0.522,-0.3
01-08-1996,4.50E+13,0.45,-0.3
01-09-1996,3.63E+13,0.363,-0.4
01-10-1996,3.11E+13,0.311,-0.4
01-11-1996,5.21E+13,0.521,-0.4
01-12-1996,9.78E+13,0.978,-0.5
01-01-1997,1.57E+14,1.57,-0.5
01-02-1997,2.00E+14,2,-0.4
01-03-1997,2.24E+14,2.24,-0.1
01-04-1997,2.60E+14,2.6,0.3
01-05-1997,2.67E+14,2.67,0.8
01-06-1997,2.32E+14,2.32,1.2
01-07-1997,1.79E+14,1.79,1.6
01-08-1997,1.56E+14,1.56,1.9
01-09-1997,1.70E+14,1.7,2.1
01-10-1997,1.64E+14,1.64,2.3
01-11-1997,8.50E+13,0.85,2.4
01-12-1997,-4.67E+13,-0.467,2.4
01-01-1998,-1.70E+14,-1.7,2.2
01-02-1998,-2.26E+14,-2.26,1.9
01-03-1998,-2.59E+14,-2.59,1.4
01-04-1998,-2.94E+14,-2.94,1
01-05-1998,-3.33E+14,-3.33,0.5
01-06-1998,-3.58E+14,-3.58,-0.1
01-07-1998,-3.72E+14,-3.72,-0.8
01-08-1998,-3.63E+14,-3.63,-1.1
01-09-1998,-3.38E+14,-3.38,-1.3
01-10-1998,-3.19E+14,-3.19,-1.4
01-11-1998,-2.92E+14,-2.92,-1.5
01-12-1998,-2.38E+14,-2.38,-1.6
01-01-1999,-1.81E+14,-1.81,-1.5
01-02-1999,-1.41E+14,-1.41,-1.3
01-03-1999,-1.25E+14,-1.25,-1.1
01-04-1999,-1.07E+14,-1.07,-1
01-05-1999,-9.26E+13,-0.926,-1
01-06-1999,-8.24E+13,-0.824,-1
01-07-1999,-8.10E+13,-0.81,-1.1
01-08-1999,-1.02E+14,-1.02,-1.1
01-09-1999,-1.10E+14,-1.1,-1.2
01-10-1999,-9.99E+13,-0.999,-1.3
01-11-1999,-1.01E+14,-1.01,-1.5
01-12-1999,-8.27E+13,-0.827,-1.7
01-01-2000,-4.10E+13,-0.41,-1.7
01-02-2000,-1.34E+12,-0.0134,-1.4
01-03-2000,1.97E+13,0.197,-1.1
01-04-2000,3.42E+13,0.342,-0.8
01-05-2000,5.37E+13,0.537,-0.7
01-06-2000,6.37E+13,0.637,-0.6
01-07-2000,5.28E+13,0.528,-0.6
01-08-2000,2.98E+13,0.298,-0.5
01-09-2000,2.09E+13,0.209,-0.5
01-10-2000,1.93E+13,0.193,-0.6
01-11-2000,9.78E+12,0.0978,-0.7
01-12-2000,1.10E+13,0.11,-0.7
01-01-2001,1.74E+13,0.174,-0.7
01-02-2001,1.85E+13,0.185,-0.5
01-03-2001,3.32E+13,0.332,-0.4
01-04-2001,4.71E+13,0.471,-0.3
01-05-2001,4.90E+13,0.49,-0.3
01-06-2001,5.95E+13,0.595,-0.1
01-07-2001,5.71E+13,0.571,-0.1
