Time,ENSO val
Jan-50,-1.5
Feb-50,-1.3
Mar-50,-1.2
Apr-50,-1.2
May-50,-1.1
Jun-50,-0.9
Jul-50,-0.5
Aug-50,-0.4
Sep-50,-0.4
Oct-50,-0.4
Nov-50,-0.6
Dec-50,-0.8
Jan-51,-0.8
Feb-51,-0.5
Mar-51,-0.2
Apr-51,0.2
May-51,0.4
Jun-51,0.6
Jul-51,0.7
Aug-51,0.9
Sep-51,1
Oct-51,1.2
Nov-51,1
Dec-51,0.8
Jan-52,0.5
Feb-52,0.4
Mar-52,0.3
Apr-52,0.3
May-52,0.2
Jun-52,0
Jul-52,-0.1
Aug-52,0
Sep-52,0.2
Oct-52,0.1
Nov-52,0
Dec-52,0.1
Jan-53,0.4
Feb-53,0.6
Mar-53,0.6
Apr-53,0.7
May-53,0.8
Jun-53,0.8
Jul-53,0.7
Aug-53,0.7
Sep-53,0.8
Oct-53,0.8
Nov-53,0.8
Dec-53,0.8
Jan-54,0.8
Feb-54,0.5
Mar-54,0
Apr-54,-0.4
May-54,-0.5
Jun-54,-0.5
Jul-54,-0.6
Aug-54,-0.8
Sep-54,-0.9
Oct-54,-0.8
Nov-54,-0.7
Dec-54,-0.7
Jan-55,-0.7
Feb-55,-0.6
Mar-55,-0.7
Apr-55,-0.8
May-55,-0.8
Jun-55,-0.7
Jul-55,-0.7
Aug-55,-0.7
Sep-55,-1.1
Oct-55,-1.4
Nov-55,-1.7
Dec-55,-1.5
Jan-56,-1.1
Feb-56,-0.8
Mar-56,-0.6
Apr-56,-0.5
May-56,-0.5
Jun-56,-0.5
Jul-56,-0.6
Aug-56,-0.6
Sep-56,-0.5
Oct-56,-0.4
Nov-56,-0.4
Dec-56,-0.4
Jan-57,-0.2
Feb-57,0.1
Mar-57,0.4
Apr-57,0.7
May-57,0.9
Jun-57,1.1
Jul-57,1.3
Aug-57,1.3
Sep-57,1.3
Oct-57,1.4
Nov-57,1.5
Dec-57,1.7
Jan-58,1.8
Feb-58,1.7
Mar-58,1.3
Apr-58,0.9
May-58,0.7
Jun-58,0.6
Jul-58,0.6
Aug-58,0.4
Sep-58,0.4
Oct-58,0.4
Nov-58,0.5
Dec-58,0.6
Jan-59,0.6
Feb-59,0.6
Mar-59,0.5
Apr-59,0.3
May-59,0.2
Jun-59,-0.1
Jul-59,-0.2
Aug-59,-0.3
Sep-59,-0.1
Oct-59,0
Nov-59,0
Dec-59,0
Jan-60,-0.1
Feb-60,-0.1
Mar-60,-0.1
Apr-60,0
May-60,0
Jun-60,0
Jul-60,0.1
Aug-60,0.2
Sep-60,0.3
Oct-60,0.2
Nov-60,0.1
Dec-60,0.1
Jan-61,0
Feb-61,0
Mar-61,0
Apr-61,0.1
May-61,0.2
Jun-61,0.3
Jul-61,0.1
Aug-61,-0.1
Sep-61,-0.3
Oct-61,-0.3
Nov-61,-0.2
Dec-61,-0.2
Jan-62,-0.2
Feb-62,-0.2
Mar-62,-0.2
Apr-62,-0.3
May-62,-0.3
Jun-62,-0.2
Jul-62,0
Aug-62,-0.1
Sep-62,-0.1
Oct-62,-0.2
Nov-62,-0.3
Dec-62,-0.4
Jan-63,-0.4
Feb-63,-0.2
Mar-63,0.2
Apr-63,0.3
May-63,0.3
Jun-63,0.5
Jul-63,0.9
Aug-63,1.1
Sep-63,1.2
Oct-63,1.3
Nov-63,1.4
Dec-63,1.3
Jan-64,1.1
Feb-64,0.6
Mar-64,0.1
Apr-64,-0.3
May-64,-0.6
Jun-64,-0.6
Jul-64,-0.6
Aug-64,-0.7
Sep-64,-0.8
Oct-64,-0.8
Nov-64,-0.8
Dec-64,-0.8
Jan-65,-0.6
Feb-65,-0.3
Mar-65,-0.1
Apr-65,0.2
May-65,0.5
Jun-65,0.8
Jul-65,1.2
Aug-65,1.5
Sep-65,1.9
Oct-65,2
Nov-65,2
Dec-65,1.7
Jan-66,1.4
Feb-66,1.2
Mar-66,1
Apr-66,0.7
May-66,0.4
Jun-66,0.2
Jul-66,0.2
Aug-66,0.1
Sep-66,-0.1
Oct-66,-0.1
Nov-66,-0.2
Dec-66,-0.3
Jan-67,-0.4
Feb-67,-0.5
Mar-67,-0.5
Apr-67,-0.4
May-67,-0.2
Jun-67,0
Jul-67,0
Aug-67,-0.2
Sep-67,-0.3
Oct-67,-0.4
Nov-67,-0.3
Dec-67,-0.4
Jan-68,-0.6
Feb-68,-0.7
Mar-68,-0.6
Apr-68,-0.4
May-68,0
Jun-68,0.3
Jul-68,0.6
Aug-68,0.5
Sep-68,0.4
Oct-68,0.5
Nov-68,0.7
Dec-68,1
Jan-69,1.1
Feb-69,1.1
Mar-69,0.9
Apr-69,0.8
May-69,0.6
Jun-69,0.4
Jul-69,0.4
Aug-69,0.5
Sep-69,0.8
Oct-69,0.9
Nov-69,0.8
Dec-69,0.6
Jan-70,0.5
Feb-70,0.3
Mar-70,0.3
Apr-70,0.2
May-70,0
Jun-70,-0.3
Jul-70,-0.6
Aug-70,-0.8
Sep-70,-0.8
Oct-70,-0.7
Nov-70,-0.9
Dec-70,-1.1
Jan-71,-1.4
Feb-71,-1.4
Mar-71,-1.1
Apr-71,-0.8
May-71,-0.7
Jun-71,-0.7
Jul-71,-0.8
Aug-71,-0.8
Sep-71,-0.8
Oct-71,-0.9
Nov-71,-1
Dec-71,-0.9
Jan-72,-0.7
Feb-72,-0.4
Mar-72,0.1
Apr-72,0.4
May-72,0.7
Jun-72,0.9
Jul-72,1.1
Aug-72,1.4
Sep-72,1.6
Oct-72,1.8
Nov-72,2.1
Dec-72,2.1
Jan-73,1.8
Feb-73,1.2
Mar-73,0.5
Apr-73,-0.1
May-73,-0.5
Jun-73,-0.9
Jul-73,-1.1
Aug-73,-1.3
Sep-73,-1.5
Oct-73,-1.7
Nov-73,-1.9
Dec-73,-2
Jan-74,-1.8
Feb-74,-1.6
Mar-74,-1.2
Apr-74,-1
May-74,-0.9
Jun-74,-0.8
Jul-74,-0.5
Aug-74,-0.4
Sep-74,-0.4
Oct-74,-0.6
Nov-74,-0.8
Dec-74,-0.6
Jan-75,-0.5
Feb-75,-0.6
Mar-75,-0.7
Apr-75,-0.7
May-75,-0.8
Jun-75,-1
Jul-75,-1.1
Aug-75,-1.2
Sep-75,-1.4
Oct-75,-1.4
Nov-75,-1.6
Dec-75,-1.7
Jan-76,-1.6
Feb-76,-1.2
Mar-76,-0.7
Apr-76,-0.5
May-76,-0.3
Jun-76,0
Jul-76,0.2
Aug-76,0.4
Sep-76,0.6
Oct-76,0.8
Nov-76,0.9
Dec-76,0.8
Jan-77,0.7
Feb-77,0.6
Mar-77,0.3
Apr-77,0.2
May-77,0.2
Jun-77,0.3
Jul-77,0.4
Aug-77,0.4
Sep-77,0.6
Oct-77,0.7
Nov-77,0.8
Dec-77,0.8
Jan-78,0.7
Feb-78,0.4
Mar-78,0.1
Apr-78,-0.2
May-78,-0.3
Jun-78,-0.3
Jul-78,-0.4
Aug-78,-0.4
Sep-78,-0.4
Oct-78,-0.3
Nov-78,-0.1
Dec-78,0
Jan-79,0
Feb-79,0.1
Mar-79,0.2
Apr-79,0.3
May-79,0.2
Jun-79,0
Jul-79,0
Aug-79,0.2
Sep-79,0.3
Oct-79,0.5
Nov-79,0.5
Dec-79,0.6
Jan-80,0.6
