Year,DJF,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ,DJF,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ
1980,0.6,0.5,0.3,0.4,0.5,0.5,0.3,0,-0.1,0,0.1,0,,0.663333333,0.541666667,0.442333333,0.412,0.434333333,0.465333333,0.536333333,0.664,0.813666667,0.858666667,0.732333333
1981,-0.3,-0.5,-0.5,-0.4,-0.3,-0.3,-0.3,-0.2,-0.2,-0.1,-0.2,-0.1,0.634666667,0.693,0.782333333,0.693333333,0.4051,0.1931,0.1891,0.311333333,0.387,0.336,0.304,0.428333333
1982,0,0.1,0.2,0.5,0.7,0.7,0.8,1.1,1.6,2,2.2,2.2,0.624666667,0.773333333,0.875333333,0.956,0.959333333,0.882333333,0.949,1.249666667,1.536666667,1.546666667,1.246333333,0.691933333
1983,2.2,1.9,1.5,1.3,1.1,0.7,0.3,-0.1,-0.5,-0.8,-1,-0.9,0.1116,-0.287733333,-0.406,-0.444,-0.64,-0.937333333,-1.195666667,-1.463333333,-1.87,-2.27,-2.39,-2.16
1984,-0.6,-0.4,-0.3,-0.4,-0.5,-0.4,-0.3,-0.2,-0.2,-0.6,-0.9,-1.1,-1.793333333,-1.483333333,-1.276666667,-1.23,-1.266666667,-1.26,-1.128,-0.987333333,-0.913,-0.846666667,-0.740666667,-0.578333333
1985,-1,-0.8,-0.8,-0.8,-0.8,-0.6,-0.5,-0.5,-0.4,-0.3,-0.3,-0.4,-0.398,-0.195666667,0.029333333,0.194333333,0.309,0.393333333,0.458,0.473666667,0.44,0.419666667,0.421333333,0.410666667
1986,-0.5,-0.5,-0.3,-0.2,-0.1,0,0.2,0.4,0.7,0.9,1.1,1.2,0.405,0.406333333,0.458,0.567666667,0.737666667,0.886666667,0.919,0.907,0.951333333,1.000333333,0.976666667,0.777666667
1987,1.2,1.2,1.1,0.9,1,1.2,1.5,1.7,1.6,1.5,1.3,1.1,0.462966667,0.1433,-0.1027,-0.293,-0.559666667,-0.864666667,-1.023666667,-1.046333333,-1.063,-1.212333333,-1.42,-1.6
1988,0.8,0.5,0.1,-0.3,-0.9,-1.3,-1.3,-1.1,-1.2,-1.5,-1.8,-1.8,-1.786666667,-1.993333333,-2.18,-2.233333333,-2.093333333,-1.826666667,-1.6,-1.526666667,-1.596666667,-1.63,-1.453333333,-1.002666667
1989,-1.7,-1.4,-1.1,-0.8,-0.6,-0.4,-0.3,-0.3,-0.2,-0.2,-0.2,-0.1,-0.413333333,0.126333333,0.558333333,0.872333333,1.056,1.086666667,0.987,0.822,0.659333333,0.611333333,0.783,1.145666667
